Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000652041044543663,-0.00608728882503843,-0.00794338927201934,0,0,0,0.161698730044026,0.000141388791622648,-5.02188577294868E-06,1.73007692087059E-05,0.000169002875366668,-1.05634363248236E-05,9.47097142005791E-05,0,0,0,0,0,0,package://glove4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://glove4/meshes/base_link.STL,,基座4-1;XL-330-2;fpx330-s101-3;XL-330-1;fpx330-s101-1;fpx330-s101-5;XL-330-3;XL-330-7;fpx330-s101-9,Origin_global,?????????12,joint12,revolute,0.072758,0,0,3.1416,0,-0.38307,Link11,0,0,-1,0,0,-1,1,,,,,,,,
Link1,-2.07293904264105E-12,-0.0139116325632298,0.0392125008827622,0,0,0,0.0227307441363711,3.48906182029338E-06,-3.06194270975202E-17,5.43911989744423E-16,2.97126527346459E-06,1.38734150009255E-07,1.80953209385483E-06,0,0,0,0,0,0,package://glove4/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://glove4/meshes/Link1.STL,,零件1^连杆装配体2-1;XL-330-4,坐标系1,基准轴1,joint1,revolute,-0.043114,0.092144,-0.043229,1.5708,0,2.3562,base_link,0,0,1,3,3,-3,3,,,,,,,,
Link2,0.058706951565076,0.0102400264896733,-0.00584023831235862,0,0,0,0.0280011866286017,2.70806239022981E-06,4.67338029689434E-08,2.61634389689765E-08,7.90596853031194E-06,1.44355552936617E-08,6.78557934661642E-06,0,0,0,0,0,0,package://glove4/meshes/Link2.STL,1,0.247058823529412,0.549019607843137,1,0,0,0,0,0,0,package://glove4/meshes/Link2.STL,,XL-330-6;fpx330-s101-8;零件1^连杆装配体大拇指-1,坐标系2,基准轴2,joint2,revolute,0,-0.0142,0.0555,1.5708,-1.5708,0,Link1,0,0,-1,3,3,-3,3,,,,,,,,
Link3,0.0566082046073511,0.0118445186480688,0.00290936298347753,0,0,0,0.0235900017922739,2.87646121156642E-06,-2.77414708037891E-07,6.4285809431669E-07,4.82860045183556E-06,-1.23889017742637E-08,4.7628963384461E-06,0,0,0,0,0,0,package://glove4/meshes/Link3.STL,1,0.247058823529412,0.549019607843137,1,0,0,0,0,0,0,package://glove4/meshes/Link3.STL,,XL-330-5;fpx330-s101-7;Link2改-1,坐标系3,基准轴3,joint3,revolute,0.085,0,0,0,0,0,Link2,0,0,-1,3,3,-3,3,,,,,,,,
Link4,-0.0179620092673003,-0.000189537154506203,0.00578555840076197,0,0,0,0.00292377294828377,2.04955260473211E-07,-7.24487010153639E-10,-1.02886584265154E-07,2.96932758519458E-07,4.97706051257123E-18,1.96688144483665E-07,0,0,0,0,0,0,package://glove4/meshes/Link4.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://glove4/meshes/Link4.STL,,指套-连接.step-1;指尖套-4,坐标系4,基准轴4,joint4,revolute,0.06875,0.023816,0,0,0,-2.0944,Link3,0,0,-1,3,3,-3,3,,,,,,,,
Link17,2.77555756156289E-17,0,-6.93889390390723E-18,0,0,0,0.00090477868423386,1.30288130529676E-08,0,1.19849267500609E-25,1.30288130529676E-08,3.21135144401853E-26,1.30288130529676E-08,0,0,0,0,0,0,package://glove4/meshes/Link17.STL,1,1,1,1,0,0,0,0,0,0,package://glove4/meshes/Link17.STL,,球体-1,坐标系18,Axis_joint17,joint17,fixed,-0.045,0,0.001,-3.1416,0,3.1416,Link4,0.25882,-0.96593,0,3,3,-3,3,,,,,,,,
Link5,-0.0068982058632717,-0.000244023939821064,0.0118526389164172,0,0,0,0.0178831940703488,1.56664952320684E-06,-3.22396636055828E-08,-1.74189594302512E-08,2.3830002524727E-06,5.18996046172978E-09,2.8380169843282E-06,0,0,0,0,0,0,package://glove4/meshes/Link5.STL,1,0.247058823529412,0.549019607843137,1,0,0,0,0,0,0,package://glove4/meshes/Link5.STL,,XL-330(改)-1;fpx330-s102(改)2-2,坐标系5,基准轴5,joint5,revolute,0.040038,0.035,0.017488,-3.1416,-0.5236,0,base_link,0,0,1,3,3,-3,3,,,,,,,,
Link6,0.0597509164409002,-1.28008382402345E-06,0.0021953090631864,0,0,0,0.0265839433569197,2.34353375948976E-06,2.93694419078676E-10,1.20057369272582E-06,7.70299009240582E-06,-1.66867223275861E-10,6.82473465184368E-06,0,0,0,0,0,0,package://glove4/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://glove4/meshes/Link6.STL,,连杆装配体-1/零件1^连杆装配体-1;XL-330(改)-2,坐标系6,基准轴6,joint6,revolute,0,0,0.013,1.5708,0,0,Link5,0,0,1,3,3,-3,3,,,,,,,,
Link7,0.0563039679621939,0.0115445566420779,0.00339173705205113,0,0,0,0.0230133561977834,2.74920592038988E-06,-2.6517269375409E-07,6.0502013738178E-07,4.71548102114072E-06,-7.79261656398969E-08,4.71628661156612E-06,0,0,0,0,0,0,package://glove4/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://glove4/meshes/Link7.STL,,Link2-1;fpx330-s101-2;XL-330(改)-3,坐标系7,基准轴7,joint7,revolute,0.085,0,0,0,0,0,Link6,0,0,1,3,3,-3,3,,,,,,,,
Link8,-0.0179620092478215,-0.000189537152299107,0.00628555841179974,0,0,0,0.00292377294151905,2.04955260642948E-07,-7.24487059121911E-10,-1.02886584264123E-07,2.96932758627079E-07,2.65381298845406E-18,1.96688144217588E-07,0,0,0,0,0,0,package://glove4/meshes/Link8.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://glove4/meshes/Link8.STL,,指套-连接.step-2;指尖套-3,坐标系8,基准轴8,joint8,revolute,0.06875,0.023816,0,0,0,-2.0944,Link7,0,0,1,3,3,-3,3,,,,,,,,
