Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00153440405335238,0.0204382468703427,0.0367951456117559,0,0,0,0.0818018074556594,0.000114084207970672,-2.10341508190003E-06,1.39209536319149E-06,6.12101513711208E-05,1.90786050719155E-06,6.3128880941804E-05,0,0,0,0,0,0,package://gx4m/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://gx4m/meshes/base_link.STL,,gx16手掌-1-1;gx16_手掌盖-2,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0066997555855992,-0.00029707734467572,0.0157715034835529,0,0,0,0.0221845886807471,1.75893076006865E-06,-9.18341864091065E-09,-6.4644354183328E-08,2.65182698275462E-06,1.75974720130724E-08,3.2896829484082E-06,0,0,0,0,0,0,package://gx4m/meshes/link1.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://gx4m/meshes/link1.STL,,大拇指旋-走线切多-加厚.step-2;XL-330-1,坐标系1,基准轴1,joint1,revolute,0.01525,0.040316,0.0202,1.5708,0,1.5708,base_link,0,0,1,6,6,0,1.57,,,,,,,,
link2,0.0179115845068282,0.00156014337581842,0.017229049195138,0,0,0,0.00726969492362233,1.95118399965334E-06,5.56347572713684E-09,3.61427722386111E-08,1.8625109956516E-06,-1.38118146214014E-08,1.64196249089385E-06,0,0,0,0,0,0,package://gx4m/meshes/link2.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://gx4m/meshes/link2.STL,,大拇指扣注螺母-加长-自带挡线-增大走线槽-1,坐标系2,基准轴2,joint2,revolute,0.015,0.0175,0.02,1.5708,0,0,link1,0,0,-1,6,6,0,1.57,,,,,,,,
link3,0.0245,-3.81639164714898E-17,-0.0170100523350374,0,0,0,0.0318397860116349,2.63362247826917E-06,-1.41560414666517E-21,-2.81241408268029E-21,4.761229595298E-06,-1.41473845417061E-21,4.05277731724929E-06,0,0,0,0,0,0,package://gx4m/meshes/link3.STL,1,0.247058823529412,0.549019607843137,1,0,0,0,0,0,0,package://gx4m/meshes/link3.STL,,XL-330-2;XL-330-3,坐标系3,基准轴3,joint3,revolute,0.036,0.0165,0.0175,-1.5708,0,0,link2,0,0,1,6,6,0,1.57,,,,,,,,
link4,0.0331932699918128,0.00120000921448157,-0.0173091510596473,0,0,0,0.016387902192676,1.67397373857767E-06,8.08318528720868E-08,-2.79692097132294E-09,2.6481586764993E-06,-1.90394065537757E-10,1.49181880126737E-06,0,0,0,0,0,0,package://gx4m/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gx4m/meshes/link4.STL,,传感器连接舵机6-1;指尖30mm px6ax-gen3-dp-l3530-omega pxsr-stddp03a.stp-2,坐标系4,基准轴4,joint4,revolute,0.049,0,0.0006,0,0,0,link3,0,0,1,6,6,0,1.57,,,,,,,,
link5,-1.47798440153224E-15,0.0165783539824644,-0.0174999999998945,0,0,0,0.00760225553216866,1.74302925162853E-06,-1.22670925981893E-21,-2.52031592889091E-22,2.149096590646E-06,-1.70567098304039E-18,1.65006176097987E-06,0,0,0,0,0,0,package://gx4m/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gx4m/meshes/link5.STL,,手指外壳1短.step-1,坐标系5,基准轴5,joint5,revolute,0.01425,0.040216,0.0745,1.5708,0,1.5708,base_link,0,0,-1,6,6,-0.6,0.6,,,,,,,,
link6,0.026005532403365,3.46944695195361E-17,-0.0195473220227265,0,0,0,0.0318397860116349,2.63362247826917E-06,3.04789527147794E-22,3.07080964375579E-21,4.761229595298E-06,-2.38567529531903E-22,4.05277731724929E-06,0,0,0,0,0,0,package://gx4m/meshes/link6.STL,1,0.247058823529412,0.549019607843137,1,0,0,0,0,0,0,package://gx4m/meshes/link6.STL,,XL-330-7;XL-330-8,坐标系6,基准轴6,joint6,fixed,0.019857,0.028494,-0.0175,1.5708,0,1.5708,link5,0,0,0,6,6,0,1.57,,,,,,,,
link7,0.0282145159467919,-0.00608650480771861,-0.0238462603891481,0,0,0,0.0201335995475439,3.23294735024172E-06,6.39217838619289E-15,-3.29770569627498E-16,2.02956034885754E-06,-1.17278782158689E-08,2.42383950885394E-06,0,0,0,0,0,0,package://gx4m/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://gx4m/meshes/link7.STL,,fpx330-h101-1;fpx330-s102-2;XL-330-9,坐标系7,基准轴7,joint7,revolute,0.048857,0,0.0037437,0,0,0,link6,0,0,-1,6,6,0,1.57,,,,,,,,
link8,0.0331932699918109,0.00120000921448189,-0.0173091510596482,0,0,0,0.0163879021926749,1.6739737385777E-06,8.08318528720423E-08,-2.79692097121936E-09,2.64815867649921E-06,-1.90394065573125E-10,1.49181880126722E-06,0,0,0,0,0,0,package://gx4m/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gx4m/meshes/link8.STL,,指尖30mm px6ax-gen3-dp-l3530-omega pxsr-stddp03a.stp-3;传感器连接舵机6-4,坐标系8,基准轴8,joint8,revolute,0.031648,0,-0.0063011,0,0,0,link7,0,0,1,6,6,0,1.57,,,,,,,,
link9,-3.19189119579733E-16,0.0165783539824642,-0.0174999999998945,0,0,0,0.00760225553216863,1.74302925162852E-06,-3.3775527886409E-21,-8.40105309342424E-23,2.14909659064599E-06,-1.70509942305582E-18,1.65006176097987E-06,0,0,0,0,0,0,package://gx4m/meshes/link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gx4m/meshes/link9.STL,,手指外壳1短.step-2,坐标系9,基准轴9,joint9,revolute,0.01425,0.0003162,0.0745,1.5708,0,1.5708,base_link,0,0,-1,6,6,-0.6,0.6,,,,,,,,
link10,0.0245000000000004,1.45716771982052E-16,-0.0178100523350378,0,0,0,0.0318397860116349,2.63362247826917E-06,-3.65046700395299E-22,-3.57737359392566E-21,4.761229595298E-06,-3.16576765693066E-22,4.05277731724929E-06,0,0,0,0,0,0,package://gx4m/meshes/link10.STL,1,0.247058823529412,0.549019607843137,1,0,0,0,0,0,0,package://gx4m/meshes/link10.STL,,XL-330-11;XL-330-10,坐标系10,基准轴10,joint10,revolute,0.0175,0.03,-0.0175,1.5708,0,1.5708,link9,0,0,-1,6,6,0,1.57,,,,,,,,
